
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
237,Larry Donnell,NYG,27,te,8,8,,2,,,,,,2,,,,,,,,12,
238,Harry Douglas,TEN,31,WR,14,12,,2,,,,,,2,,,,,,,,12,
239,Zach Ertz,PHI,25,te,15,6,,2,,,,,,2,,,,,,,,12,
Rk,,Tm,Age,Pos,G,GS,RshTD,RecTD,PR TD,KR TD,FblTD,IntTD,OthTD,AllTD,2PM,2PA,XPM,XPA,FGM,FGA,Sfty,Pts,Pts/G
240,Anthony Fasano,TEN,31,TE,16,11,,2,,,,,,2,,,,,,,,12,
241,Ryan Fitzpatrick,NYJ,33,QB,16,16,2,,,,,,,2,,,,,,,,12,
242,Justin Forsett,BAL,30,RB,10,10,2,,,,,,,2,,,,,,,,12,
243,Jalston Fowler,TEN,25,,16,0,1,1,,,,,,2,,,,,,,,12,
244,Jimmy Graham,SEA,29,TE,11,11,,2,,,,,,2,,,,,,,,12,
245,Ryan Grant,WAS,25,wr,16,5,,2,,,,,,2,,,,,,,,12,
246,Ryan Griffin,HOU,25,te,9,4,,2,,,,,,2,,,,,,,,12,
247,Brian Hartline,CLE,29,wr,12,4,,2,,,,,,2,,,,,,,,12,
248,Darrius Heyward-Bey,PIT,28,wr,16,4,,2,,,,,,2,,,,,,,,12,
249,Josh Hill,NOR,25,te,16,7,,2,,,,,,2,,,,,,,,12,
250,Chris Hogan,BUF,27,wr,16,4,,2,,,,,,2,,,,,,,,12,
251,Fred Jackson,SEA,34,,16,0,,2,,,,,,2,,,,,,,,12,
252,Duke Johnson,CLE,22,rb,16,7,,2,,,,,,2,,,,,,,,12,
253,Reshad Jones*,MIA,27,S,16,16,,,,,,2,,2,,,,,,,,12,
254,Lance Kendricks,STL,27,TE,15,12,,2,,,,,,2,,,,,,,,12,
255,Jeremy Kerley,NYJ,27,wr,16,1,,2,,,,,,2,,,,,,,,12,
256,John Kuhn*,GNB,33,fb,16,6,2,,,,,,,2,,,,,,,,12,
257,Keshawn Martin,NWE,25,wr,9,8,,2,,,,,,2,,,,,,,,12,
