
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
115,Jared Abbrederis,GNB,25,,9,0,,,,,,2,52,0,30,26.0,163
116,Joe Banyard,JAX,27,,5,0,,,,,,2,21,0,13,10.5,21
117,Kenjon Barner,PHI,26,,11,0,1,-3,0,-3,-3.0,1,10,0,10,10.0,153
118,Reggie Bush,SFO,30,rb,5,1,2,9,0,9,4.5,,,,,,56
119,Ka'Deem Carey,CHI,23,rb,10,1,,,,,,2,38,0,22,19.0,216
,,,,,Games,Games,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Punt Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,Kick Returns,
Rk,,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
120,Patrick Chung,NWE,28,S,15,14,1,4,0,4,4.0,1,17,0,17,17.0,21
121,Brandin Cooks,NOR,22,WR,16,13,2,12,0,6,6.0,,,,,,1168
122,Riley Cooper,PHI,28,WR,16,13,,,,,,2,28,0,16,14.0,355
123,Kellen Davis,NYJ,30,te,16,9,,,,,,2,24,0,13,12.0,42
124,Quintin Demps,HOU,30,S,14,13,,,,,,2,46,0,23,23.0,79
125,Ed Dickson,CAR,28,TE,16,11,,,,,,2,1,0,1,0.5,179
126,Jack Doyle,IND,25,te,16,2,,,,,,2,22,0,12,11.0,94
127,Donteea Dye,TAM,22,wr,10,6,,,,,,2,37,0,19,18.5,169
128,Marquise Goodwin,BUF,25,,2,0,,,,,,2,33,0,19,16.5,57
129,Michael Hoomanawanui,2TM,27,,14,8,,,,,,2,19,0,16,9.5,95
130,LaMichael James,MIA,26,,1,0,,,,,,2,54,0,29,27.0,54
131,Damaris Johnson,NWE,26,,1,0,2,3,0,3,1.5,,,,,,9
132,Duke Johnson,CLE,22,rb,16,7,,,,,,2,52,0,30,26.0,965
133,Abry Jones,JAX,24,,15,0,,,,,,2,0,0,0,0.0,0
134,Reshad Jones*,MIA,27,S,16,16,,,,,,2,43,0,25,21.5,52
135,John Kuhn*,GNB,33,fb,16,6,,,,,,2,9,0,9,4.5,93
136,Jeremy Maclin,KAN,27,WR,15,15,2,13,0,11,6.5,,,,,,1115
137,Robert McClain,CAR,27,,3,0,2,5,0,3,2.5,,,,,,5
138,Devin McCourty,NWE,28,DB,14,14,,,,,,2,0,0,0,0.0,0
139,Lance Moore,DET,32,wr,14,8,2,1,0,1,0.5,,,,,,338
